Freq    Mag Phase
1.00000000000000e+01    6.01032420184965e+00    -4.20223464066499e+01
1.25892541179417e+01    9.45476001965964e+00    -4.45870728085193e+01
1.58489319246111e+01    1.27661592078781e+01    -4.84492380619070e+01
1.99526231496888e+01    1.58955322793395e+01    -5.33147574206199e+01
2.51188643150958e+01    1.88145739607994e+01    -5.88084060353044e+01
3.16227766016838e+01    2.15204960010276e+01    -6.45468078314351e+01
3.98107170553497e+01    2.40330446965590e+01    -7.02214823450032e+01
5.01187233627272e+01    2.63848710057773e+01    -7.56512036182117e+01
6.30957344480193e+01    2.86105888512499e+01    -8.07870685314625e+01
7.94328234724282e+01    3.07389145938815e+01    -8.56848129016556e+01
1.00000000000000e+02    3.27887823205986e+01    -9.04678781591540e+01
1.25892541179417e+02    3.47680715410347e+01    -9.52951289728277e+01
1.58489319246111e+02    3.66733524292258e+01    -1.00335076429165e+02
1.99526231496888e+02    3.84898647719545e+01    -1.05741728210157e+02
2.51188643150958e+02    4.01920127729827e+01    -1.11626029485372e+02
3.16227766016838e+02    4.17456399628101e+01    -1.18020928366262e+02
3.98107170553497e+02    4.31137140166876e+01    -1.24848031820854e+02
5.01187233627273e+02    4.42657641961792e+01    -1.31906101097668e+02
6.30957344480194e+02    4.51881497146005e+01    -1.38902765716011e+02
7.94328234724282e+02    4.58895745205657e+01    -1.45527656259280e+02
1.00000000000000e+03    4.63982186916760e+01    -1.51532080459227e+02
1.25892541179417e+03    4.67526310197115e+01    -1.56774452080807e+02
1.58489319246111e+03    4.69920443576356e+01    -1.61219471715694e+02
1.99526231496888e+03    4.71501625541807e+01    -1.64908599268208e+02
2.51188643150958e+03    4.72529629385245e+01    -1.67925188583541e+02
3.16227766016838e+03    4.73190958104956e+01    -1.70367500829211e+02
3.98107170553498e+03    4.73613450730906e+01    -1.72332321787565e+02
5.00000000000000e+03    4.73879955851247e+01    -1.73892431243394e+02
